Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,EV Total Port Count (Beta),EV CHAdeMO Port Count (Beta),EV J1772 Port Count (Beta),EV CCS Port Count (Beta),EV NEMA 14-50 Port Count (Beta),EV NEMA 515 Port Count (Beta),EV NEMA 520 Port Count (Beta),EV Tesla Port Count (Beta),EV CCS 150+ kW Port Count (Beta)
ELEC,Carr Nissan,3855 SW Cedar Hills Blvd,,Beaverton,OR,97005,,503-643-8676,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,45.491783,-122.81107,2020-06-09,39827,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Lithia Nissan of Bend,1835 NE Highway 20,,Bend,OR,97701,,541-389-1177,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,44.055213,-121.277279,2022-03-07,39828,2022-03-07 19:49:53 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,3,1,2,0,0,0,0,0,0
ELEC,Kiefer Nissan,900 NW 4th St,,Corvallis,OR,97330,,541-753-1694,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,44.572608,-123.258425,2020-06-09,39830,2021-03-11 23:22:17 UTC,P,,,2011-11-10,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Lithia Nissan of Eugene,2060 Martin Luther King,,Eugene,OR,97401,,541-686-2211,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,44.05902085037804,-123.08139746322934,2020-06-09,39831,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Dick Hannah Nissan,19505 SE McLoughlin Blvd,,Gladstone,OR,97027,,503-655-6519,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,45.378967,-122.603899,2020-06-09,39832,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Chuck Colvin Nissan,1925 N Highway 99W,,McMinnville,OR,97128,,503-472-6124,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,45.227394,-123.180863,2020-06-09,39836,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Lithia Nissan,4560 Grumman Dr,,Medford,OR,97504,,541-930-3025,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.379969,-122.858192,2020-06-09,39837,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Rustom Nissan - Portland,1212 NE 122nd Ave,,Portland,OR,97230,,503-251-3349,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,45.531759,-122.537403,2020-06-09,39838,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Nissan of Salem,2755 Mission St SE,,Salem,OR,97302,,503-581-3849,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,44.921582,-123.006236,2022-03-07,39839,2022-03-07 19:49:53 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,2,1,1,1,0,0,0,0,0
ELEC,Ray Schultens Nissan,2400 W 6th St,,The Dalles,OR,97058,,541-296-4613,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,45.613979,-121.20996,2022-02-10,39840,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,3,1,2,1,0,0,0,0,0
ELEC,Tonkin Nissan,26700 SW 95th Ave,,Wilsonville,OR,97070,,503-222-2277,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,45.326814,-122.770853,2020-06-09,39841,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,2,0,2,0,0,0,0,0,0
ELEC,Southern Oregon University - Lot 8,481 Stadium St,,Ashland,OR,97520,,541-552-7275,E,,Public,24 hours daily; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,3,,,Non-Networked,,200-8,42.187149,-122.689496,2022-04-06,40752,2022-04-06 14:08:04 UTC,SG,,,2011-08-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,5,0,3,0,0,0,2,0,0
ELEC,Mentor Graphics,8005 SW Boeckman Rd,,Wilsonville,OR,97070,,,E,,Private,Employee and customer use only;  Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-8,45.317487,-122.759692,2022-05-05,40765,2022-05-05 20:22:04 UTC,P,,,2011-03-15,,,,,J1772 NEMA515,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,2,0,1,0,0,1,0,0,0
ELEC,Atmosera,9705 SW Sunshine Ct,,Beaverton,OR,97005,,503-646-8400,E,,Public - Call ahead,8am-5pm daily; Employee and customer use only,,,,,1,2,,,Non-Networked,,GPS,45.475743,-122.776517,2021-06-07,40775,2022-04-28 20:01:31 UTC,P,,,2012-03-31,,,,,J1772 NEMA515,US,,,,Public - Appeler à l'avance,,public,CALL,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,true,3,0,2,0,0,1,0,0,0
ELEC,Clackamas County Sheriff's Office - Brooks Building,9101 SE Sunnybrook Blvd,,Clackamas,OR,97015,,503-785-5000,E,,Public,8am-5pm daily,,,,,1,1,,,Non-Networked,,GPS,45.43039546782978,-122.5722026653595,2021-09-10,40777,2022-02-10 19:42:29 UTC,P,,,2011-03-01,,,,,J1772 NEMA515,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,2,0,1,0,0,1,0,0,0
ELEC,TC Chevrolet,2045 Highway 99 N,Located off of Exit 19 on Highway 99 on the north end of Ashland. Charger located outside of service bay.,Ashland,OR,97520,,541-201-8697,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,42.219548,-122.740005,2022-06-14,41085,2022-06-14 16:24:51 UTC,P,,,2011-09-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,1,0,1,0,0,0,0,0,0
ELEC,HIGHLANDCHEVRON HIGHLAND DUAL 1,14470 SW Allen Blvd,,Beaverton,OR,97005,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.475962,-122.825561,2022-11-10,41758,2022-11-10 00:52:25 UTC,,,,2011-10-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,Carr Nissan,3855 SW Cedar Hills Blvd,,Beaverton,OR,97005,,503-643-8676,E,,Private,,,,,,,1,,,Non-Networked,,200-9,45.491783,-122.81107,2020-06-09,44225,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Kiefer Nissan,900 NW 4th St,,Corvallis,OR,97330,,541-753-1694,E,,Private,,,,,,,1,,,Non-Networked,,GPS,44.572608,-123.258425,2020-06-09,44228,2021-03-11 23:22:17 UTC,P,,,2011-11-10,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Lithia Nissan of Eugene,2060 Martin Luther King,,Eugene,OR,97401,,541-686-2211,E,,Private,,,,,,,1,,,Non-Networked,,GPS,44.05902085037804,-123.08139746322934,2020-06-09,44230,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Dick Hannah Nissan,19505 SE McLoughlin Blvd,,Gladstone,OR,97027,,503-655-6519,E,,Private,,,,,,,1,,,Non-Networked,,200-9,45.378967,-122.603899,2020-06-09,44233,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Chuck Colvin Nissan,1925 N Highway 99W,,McMinnville,OR,97128,,503-472-6124,E,,Private,,,,,,,1,,,Non-Networked,,200-9,45.227394,-123.180863,2020-06-09,44241,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Lithia Nissan,4560 Grumman Dr,,Medford,OR,97504,,541-930-3025,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.379969,-122.858192,2020-06-09,44243,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Rustom Nissan - Portland,1212 NE 122nd Ave,,Portland,OR,97230,,503-251-3349,E,,Private,,,,,,,1,,,Non-Networked,,200-9,45.531759,-122.537403,2020-06-09,44247,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Nissan of Salem,2755 Mission St SE,,Salem,OR,97302,,503-581-3849,E,,Private,,,,,,,1,,,Non-Networked,,200-9,44.921582,-123.006236,2022-03-07,44251,2022-03-07 19:49:53 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Tonkin Nissan,26700 SW 95th Ave,,Wilsonville,OR,97070,,503-222-2277,E,,Private,,,,,,,3,,,Non-Networked,,200-9,45.326814,-122.770853,2020-06-09,44255,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,0
ELEC,West Hills Collision Center,8300 SW Barbur Blvd,,Portland,OR,97219,,503-245-9030,E,,Public,24 hours daily,,,,,1,1,,,Non-Networked,,200-9,45.464636,-122.698892,2022-04-06,47064,2022-04-27 13:57:52 UTC,P,,,2009-10-15,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free but payment system is going to be installed,,,,,,,,,,false,2,0,2,0,0,0,0,0,0
ELEC,Fox Tower Parking Lot,805 SW Broadway,,Portland,OR,97205,,855-885-9571,E,,Public,,,,,,,2,,,OpConnect,http://www.opconnect.com/,GPS,45.518289,-122.680882,2022-11-10,50714,2022-11-10 01:59:04 UTC,,,,2012-12-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,Hilltop Collision Center,275 Beavercreek Rd,,Oregon City,OR,97045,,503-722-5885,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.333825,-122.596795,2021-06-07,51699,2022-02-10 19:42:29 UTC,P,,,2013-03-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,Deschutes National Forest Supervisor’s Office,63095 Deschutes Market Rd,,Bend,OR,97701,,,E,,Private,USNF Employees only,,,,,,3,,,Non-Networked,,GPS,44.091791,-121.261635,2021-04-08,52473,2022-02-10 19:42:29 UTC,FG,4,U.S. Department of Agriculture,2013-06-30,,,,,J1772,US,,,,Privé,,private,,USDA,NATL_PARK,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,0
ELEC,Forest Service - Umpqua National Forest,2010 Opportunity Ln,,Glide,OR,97443,,,E,,Private,USDA fleet use only,,,,,,,,,,,200-9,43.236194,-122.940719,2021-02-22,52474,2021-08-04 00:01:52 UTC,FG,4,U.S. Department of Agriculture,2013-06-30,,,,,,US,,,,Privé,,private,,USDA,NATL_PARK,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,TOFURKY COMPANY TOFURKY HQ,602 Anchor Way,,Hood River,OR,97031,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.713918,-121.516681,2022-11-10,53039,2022-11-10 00:40:59 UTC,,,,2013-09-15,,,,,J1772 NEMA515,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,1,0,0,0
ELEC,Ocean Beaches Glassblowing & Gallery,11175 NW Pacific Coast Hwy,,Seal Rock,OR,97376,,541-563-8632,E,,Public,10am-6pm daily,,,,,,1,,,Non-Networked,,200-9,44.504993,-124.079315,2021-06-07,53694,2022-02-10 19:42:29 UTC,P,,,2013-11-20,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,1,0,1,0,0,0,0,0,0
ELEC,FORD_BLDG FORD CHARGER #1,245 S 2nd St,,Coos Bay,OR,97420,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.366504,-124.214993,2022-11-10,58336,2022-11-10 00:41:37 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,US BANCORP 5TH AVE GARAGE1,111 SW 5th Ave,,Portland,OR,97204,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.522185,-122.675939,2022-11-10,60919,2022-11-10 00:41:43 UTC,,,,2014-03-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,US BANCORP 4TH AVE GARAGE1,125 SW 4th Ave,,Portland,OR,97204,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.522198,-122.674722,2022-11-10,60943,2022-11-10 00:41:43 UTC,,,,2014-03-29,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,TC Chevrolet,2045 Highway 99 N,Located off of Exit 19 on Highway 99 on the north end of Ashland. Charger located outside of service bay.,Ashland,OR,97520,,541-201-8697,E,,Private,Dealership business hours; for service use only,,,,,,2,,,Non-Networked,,GPS,42.219548,-122.740005,2022-06-14,61446,2022-06-14 16:24:51 UTC,P,,,2021-06-03,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,BEND BMW STATION 01,1040 SW Division St,,Bend,OR,97702,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.039941,-121.305312,2022-11-10,62810,2022-11-10 00:42:11 UTC,,,,2014-08-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,Courtyard Marriott - Tigard Oregon,15686 SW Sequoia Parkway,,Tigard,OR,97224,,855-885-9571,E,,Public,,,,,,,1,2,,OpConnect,http://www.opconnect.com/,GPS,45.407373,-122.746448,2022-11-10,62982,2022-11-10 01:59:08 UTC,,,,2014-07-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,0,0,0,0
ELEC,Lincoln Center - Gustav's Restaurant,10300 SW Greenburg Road,,Tigard,OR,97223,,855-885-9571,E,,Public,,,,,,,1,2,,OpConnect,http://www.opconnect.com/,GPS,45.44507,-122.77554,2022-11-10,62983,2022-11-10 01:59:08 UTC,,,,2014-07-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,0,0,0,0
ELEC,Arlington Oregon City Hall,1310 Locust Ave.,,Arlington,OR,97812,,855-885-9571,E,,Public,,,,,,,1,2,,OpConnect,http://www.opconnect.com/,GPS,45.7176,-120.20343,2022-11-10,62984,2022-11-10 01:59:09 UTC,,,,2014-07-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,SOLAR,,3,1,1,1,0,0,0,0,0
ELEC,Roth's South Salem Oregon,3045 Commercial Street SE,,Salem,OR,97302,,855-885-9571,E,,Public,,,,,,,1,2,,OpConnect,http://www.opconnect.com/,GPS,44.910615,-123.046231,2022-11-10,62985,2022-11-10 01:59:09 UTC,,,,2014-07-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,0,0,0,0
ELEC,Suburban Ford,37000 Highway 26,,Sandy,OR,97055,,503-668-5511,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,45.400895,-122.281716,2021-06-07,63646,2022-02-10 19:42:29 UTC,P,,,2014-08-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,2,0,2,0,0,0,0,0,0
ELEC,UOP CHARGE LIBRARY 2,N Mocks Landing Rd,,Portland,OR,97203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.573016,-122.726659,2022-11-10,64106,2022-11-10 00:41:14 UTC,,,,2014-11-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0
ELEC,Banks - Jim's Thriftway,660 Main Street,,Banks,OR,97106,,888-833-2148,E,,Public,24 hours daily,,,,,,1,,,Webasto,https://www.evsolutions.com/ev-network,GPS,45.61007,-123.11286,2022-11-10,65854,2022-11-10 01:19:53 UTC,,,,2012-10-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $4 per session or $19.99 for monthly plan,,,,,,,,,,,1,0,1,0,0,0,0,0,0
ELEC,Central Point - Fairground Chevron,1510 East Pine St,,Central Point,OR,97497,,888-833-2148,E,,Public,24 hours daily,,,,,,1,1,,Webasto,https://www.evsolutions.com/ev-network,200-8,42.37837,-122.90072,2022-11-10,65855,2022-11-10 01:19:53 UTC,,,,2012-03-10,,,,,CHADEMO J1772,US,,,,Public,,public,,,,,,,,,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,2,1,1,0,0,0,0,0,0
ELEC,Roseburg - Wagon Wheel Restaurant,227 NW Garden Valley RD,,Roseburg,OR,97470,,888-833-2148,E,,Public,24 hours daily,,,,,,1,1,,Webasto,https://www.evsolutions.com/ev-network,200-8,43.22653,-123.3558,2022-11-10,65856,2022-11-10 01:19:53 UTC,,,,2012-03-10,,,,,CHADEMO J1772,US,,,,Public,,public,,,,,,,,,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,2,1,1,0,0,0,0,0,0
ELEC,Ashland - Shell,2373 Ashland Street,,Ashland,OR,97520,,888-833-2148,E,,Public,24 hours daily,,,,,,1,1,,Webasto,https://www.evsolutions.com/ev-network,200-8,42.18548,-122.66801,2022-11-10,65857,2022-11-10 01:19:53 UTC,,,,2012-03-10,,,,,CHADEMO J1772,US,,,,Public,,public,,,,,,,,,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,2,1,1,0,0,0,0,0,0
