Survey Start Date,Gasoline,E85,CNG,LNG,Propane*,Diesel,B20,B2/B5,B99/B100,Electricity**
7/14/2011,$3.68 ,$4.60 ,$2.07 ,,$4.26 ,$3.54 ,$3.67 ,na,$4.13 ,$1.47 
9/30/2011,$3.46 ,$4.51 ,$2.09 ,,$4.23 ,$3.42 ,$3.57 ,na,$4.12 ,$1.46 
1/13/2012,$3.37 ,$4.44 ,$2.13 ,,$4.26 ,$3.46 ,$3.61 ,na,$4.14 ,$1.37 
3/30/2012,$3.89 ,$4.90 ,$2.08 ,,$4.02 ,$3.69 ,$3.82 ,na,$4.29 ,$1.43 
7/13/2012,$3.52 ,$4.58 ,$2.05 ,,$3.64 ,$3.36 ,$3.50 ,na,$4.16 ,$1.44 
9/28/2012,$3.82 ,$4.91 ,$2.12 ,,$3.54 ,$3.70 ,$3.82 ,na,$4.32 ,$1.43 
1/10/2013,$3.29 ,$4.48 ,$2.10 ,,$3.70 ,$3.55 ,$3.70 ,na,$4.37 ,$1.36 
3/29/2013,$3.59 ,$4.66 ,$2.10 ,,$3.77 ,$3.58 ,$3.75 ,na,$4.23 ,$1.41 
7/12/2013,$3.65 ,$4.57 ,$2.14 ,,$3.77 ,$3.50 ,$3.55 ,na,$4.13 ,$1.49 
10/4/2013,$3.45 ,$4.30 ,$2.09 ,,$4.09 ,$3.51 ,$3.67 ,na,$4.12 ,$1.45 
1/1/2014,$3.34 ,$4.29 ,$2.09 ,,$4.31 ,$3.49 ,$3.62 ,na,$4.22 ,$1.36 
4/1/2014,$3.65 ,$4.82 ,$2.15 ,,$4.57 ,$3.56 ,$3.66 ,na,$4.17 ,$1.43 
7/1/2014,$3.70 ,$4.56 ,$2.17 ,,$4.24 ,$3.51 ,$3.63 ,na,$4.18 ,$1.51 
10/1/2014,$3.34 ,$4.07 ,$2.16 ,,$4.25 ,$3.38 ,$3.48 ,na,$4.15 ,$1.46 
1/1/2015,$2.30 ,$3.12 ,$2.11 ,,$4.04 ,$2.75 ,$2.90 ,na,$3.96 ,$1.41 
4/1/2015,$2.42 ,$2.77 ,$2.09 ,,$4.01 ,$2.56 ,$2.62 ,na,$3.69 ,$1.47 
7/1/2015,$2.82 ,$3.07 ,$2.12 ,,$3.97 ,$2.61 ,$2.63 ,na,$3.48 ,$1.49 
10/1/2015,$2.35 ,$2.84 ,$2.09 ,,$3.97 ,$2.30 ,$2.39 ,na,$3.33 ,$1.47 
1/1/2016,$1.98 ,$2.42 ,$2.09 ,,$3.91 ,$1.99 ,$2.17 ,na,$3.15 ,$1.39 
4/1/2016,$2.06 ,$2.39 ,$2.02 ,,$3.79 ,$1.90 ,$2.01 ,na,$2.76 ,$1.43 
7/1/2016,$2.26 ,$2.59 ,$2.05 ,$2.41 ,$3.79 ,$2.19 ,$2.28 ,na,$2.97 ,$1.45 
10/1/2016,$2.22 ,$2.51 ,$2.06 ,$2.43 ,$3.67 ,$2.21 ,$2.21 ,na,$3.12 ,$1.41 
1/1/2017,$2.32 ,$2.65 ,$2.11 ,$2.53 ,$3.84 ,$2.30 ,$2.32 ,na,$2.99 ,$1.38 
4/1/2017,$2.38 ,$2.74 ,$2.15 ,$2.52 ,$3.87 ,$2.27 ,$2.24 ,na,$3.03 ,$1.43 
7/1/2017,$2.26 ,$2.58 ,$2.15 ,$2.52 ,$3.89 ,$2.20 ,$2.24 ,na,$3.15 ,$1.47 
10/1/2017,$2.49 ,$2.73 ,$2.17 ,$2.60 ,$3.82 ,$2.46 ,$2.41 ,na,$3.31 ,$1.43 
1/1/2018,$2.50 ,$2.68 ,$2.17 ,$2.66 ,$3.88 ,$2.63 ,$2.55 ,na,$3.41 ,$1.35 
4/1/2018,$2.67 ,$2.87 ,$2.18 ,$2.57 ,$3.87 ,$2.70 ,$2.59 ,na,$3.39 ,$1.41 
7/1/2018,$2.88 ,$3.05 ,$2.22 ,$2.60 ,$3.85 ,$2.89 ,$2.75 ,na,$3.48 ,$1.43 
10/1/2018,$2.91 ,$3.10 ,$2.19 ,$2.64 ,$3.93 ,$2.99 ,$2.78 ,na,$3.57 ,$1.39 
1/1/2019,$2.27 ,$2.59 ,$2.19 ,$2.71 ,$3.99 ,$2.65 ,$2.52 ,na,$3.50 ,$1.36 
4/1/2019,$2.76 ,$3.00 ,$2.22 ,$2.38 ,$3.97 ,$2.75 ,$2.59 ,na,$3.44 ,$1.43 
7/1/2019,$2.76 ,$3.06 ,$2.21 ,$2.46 ,$3.87 ,$2.71 ,$2.58 ,na,$3.55 ,$1.42 
10/1/2019,$2.68 ,$2.97 ,$2.20 ,$2.40 ,$3.79 ,$2.74 ,$2.58 ,na,$3.65 ,$1.37 
1/1/2020,$2.59 ,$2.96 ,$2.18 ,$2.47 ,$3.82 ,$2.71 ,$2.60 ,na,$3.65 ,$1.35 
4/1/2020,$1.91 ,$2.28 ,$2.19 ,$2.43 ,$3.74 ,$2.33 ,$2.13 ,na,$3.44 ,$1.42 
7/1/2020,$2.22 ,$2.58 ,$2.15 ,$2.40 ,$3.75 ,$2.20 ,$2.11 ,na,$3.08 ,$1.40 
10/1/2020,$2.18 ,$2.54 ,$2.18 ,$2.42 ,$3.74 ,$2.13 ,$2.06 ,na,$3.26 ,$1.44 
1/1/2021,$2.32 ,$2.65 ,$2.19 ,$2.45 ,$3.90 ,$2.35 ,$2.18 ,na,$3.11 ,$1.33 
4/1/2021,$2.82 ,$3.12 ,$2.19 ,$2.39 ,$4.01 ,$2.77 ,$2.53 ,na,$3.49 ,$1.42 
7/1/2021,$3.09 ,$3.40 ,$2.22 ,$2.54 ,$4.08 ,$2.90 ,$2.74 ,na,$3.56 ,$1.40 
10/1/2021,$3.25 ,$3.55 ,$2.33 ,$2.45 ,$4.34 ,$3.10 ,$2.96 ,na,$3.73 ,$1.40 
1/1/2022,$3.28 ,$3.87 ,$2.49 ,$2.69 ,$4.69 ,$3.22 ,$3.08 ,na,$3.88 ,$1.34 
4/1/2022,$4.13 ,$4.60 ,$2.59 ,$2.82 ,$4.83 ,$4.50 ,$4.16 ,na,$4.96 ,$1.41 
7/1/2022,$4.70 ,$5.10 ,$2.76 ,$3.15 ,$5.19 ,$5.02 ,$4.80 , na,$5.48 ,$1.48 
