Fuel_Type_Code,Station_Name,City,State,Zip,Groups_With_Access_Code,Access_Days_Time,Latitude,Longitude
ELEC,FRED MEYER DC S. MEDFORD,Medford,OR,97501,Public,24 hours daily,42.313893,-122.855354
ELEC,FRED MEYER OFF NETWORK1,Grants Pass,OR,97526,Public,24 hours daily,42.43512,-123.306507
ELEC,FRED MEYER DC ROSEBURG,Roseburg,OR,97471,Public,24 hours daily,43.228342,-123.368717
ELEC,LLOYD CENTER DC LLOYD CENTER,Portland,OR,97232,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.531974,-122.652822
ELEC,FRED MEYER DC ALBANY,Albany,OR,97322,Public,24 hours daily,44.631287,-123.076296
ELEC,HIGHLANDCHEVRON WOODBURN EV 1-2,Woodburn,OR,97071,Public,24 hours daily,45.150881,-122.878368
ELEC,Halsey - Pioneer Villa Truck Plaza,Halsey,OR,97348,Public,24 hours daily,44.385,-123.05629
ELEC,Cottage Grove - Vintage Inn Restaurant,Cottage Grove,OR,97424,Public,24 hours daily,43.8045,-123.04554
ELEC,Grants Pass - Grants Pass Chamber of Commerce,Grants Pass,OR,97528,Public,24 hours daily,42.46181,-123.32293
ELEC,McKenzie Bridge - Blue Sky Market,McKenzie Bridge,OR,97413,Public,24 hours daily,44.17375,-122.22071
ELEC,Sisters - Sisters Mainline Station,Sisters,OR,97759,Public,24 hours daily,44.29821,-121.56202
ELEC,Hood River - City of Hood River Public Parking Lot,Hood River,OR,97031,Public,24 hours daily,45.71015,-121.51655
ELEC,Detroit - Mountain High Grocery,Detroit,OR,97342,Public,24 hours daily,44.73718,-122.15195
ELEC,Astoria - Sunset Empire Transit District,Astoria,OR,97103,Public,24 hours daily,46.19017,-123.83331
ELEC,Newberg - Chevron,Newberg,OR,97132,Public,24 hours daily,45.30868,-122.94178
ELEC,Banks - Jim's Thriftway,Banks,OR,97106,Public,24 hours daily,45.61007,-123.11286
ELEC,Florence - Three Rivers Casino,Florence,OR,97439,Public,24 hours daily,43.97657,-124.08581
ELEC,Scappoose - Fred Meyer,Scappoose,OR,97056,Public,24 hours daily,45.74154,-122.87681
ELEC,McMinnville - Oregon Mutual Insurance,McMinnville,OR,97128,Public,24 hours daily,45.21111,-123.19748
ELEC,Mill City - Mountain Edge Café,Mill City,OR,97360,Public,24 hours daily,44.75669,-122.47985
ELEC,Welches - Barlow Trail Roadhouse,Welches,OR,97067,Public,24 hours daily,45.3446,-121.9492
ELEC,Lincoln City - Lincoln City Cultural Center,Lincoln City,OR,97367,Public,24 hours daily,44.97069,-124.01446
ELEC,City of Cascade Locks Public Parking Lot,Cascade Locks,OR,97014,Public,24 hours daily,45.67071,-121.88823
ELEC,Yachats - Yachats City Hall,Yachats,OR,97498,Public,24 hours daily,44.3127,-124.10542
ELEC,Elkton - Brandborg Winery,Elkton,OR,97436,Public,24 hours daily,43.63635,-123.56587
ELEC,Warm Springs - Indian Head Casino,Warm Springs,OR,97761,Public,24 hours daily,44.76316,-121.25056
ELEC,Reedsport - Recreation Station,Reedsport,OR,97467,Public,24 hours daily,43.69841,-124.11183
ELEC,Monmouth - Dairy Queen,Monmouth,OR,97361,Public,24 hours daily,44.84613,-123.22951
ELEC,Spirit Mountain Casino Service Station,Grand Ronde,OR,97347,Public,24 hours daily,45.05987,-123.57872
ELEC,Veneta - Veneta Park n' Ride,Veneta,OR,97487,Public,24 hours daily,44.05111,-123.35174
ELEC,Tillamook - Fred Meyer,Tillamook,OR,97141,Public,24 hours daily,45.47478,-123.84546
ELEC,Cannon Beach - Cannon Beach RV Resort,Cannon Beach,OR,97110,Public,24 hours daily,45.88889,-123.95537
ELEC,Coos Bay -Fred Meyer,Coos Bay,OR,97420,Public,24 hours daily,43.35721,-124.21139
ELEC,Albany - Chevron,Albany,OR,97322,Public,24 hours daily,44.55637,-123.06623
ELEC,Redmond - Fred Meyer,Redmond,OR,97756,Public,24 hours daily,44.26766,-121.17681
ELEC,Westport - Berry Patch,WESTPORT,OR,97016,Public,24 hours daily,46.13052,-123.37377
ELEC,The Dalles - Fred Meyer,The Dalles,OR,97058,Public,24 hours daily,45.60691,-121.19955
ELEC,Government Camp - Ski Bowl West,Government Camp,OR,97028,Public,24 hours daily,45.30291,-121.77641
ELEC,Jim Sigel Automotive Center,Grants Pass,OR,97526,Public - Call ahead,Dealership business hours,42.455987,-123.320245
ELEC,Hyland Estates,Dundee,OR,97115,Public,24 hours daily,45.268997,-123.020986
ELEC,HASSALO GARAGE VELOMOR #1,Portland,OR,97232,Public,24 hours daily,45.530594,-122.656712
ELEC,SunPower,Hillsboro,OR,97124,TEMPORARILY UNAVAILABLE (Private),8am-5pm daily; Employee and guest use only,45.55102,-122.939917
ELEC,ALOFT HOTEL DC FAST 01,Portland,OR,97220,Public,24 hours daily,45.573211,-122.561278
ELEC,STADIUM PARKING GARAGE,Portland,OR,97210,Public,24 hours daily,45.523855,-122.69492
ELEC,SOU SOU LOT 27,Ashland,OR,97520,Public,24 hours daily,42.185539,-122.697112
ELEC,Madras - Dairy Queen,Madras,OR,97741,Public,24 hours daily,44.62898,-121.12939
ELEC,Port Orford - Seaside Plaza,Port Orford,OR,97465,Public,24 hours daily,42.74925,-124.497
ELEC,Woodburn - Woodburn Transit Center,Woodburn,OR,97071,Public,24 hours daily,45.15136,-122.87634
ELEC,Brookings,Brookings,OR,97415,Public,24 hours daily,42.05359,-124.29001
ELEC,COLUMBIA BASIN HEPPNER,Heppner,OR,97836,Public,24 hours daily,45.356558,-119.553373
ELEC,COLUMBIA BASIN CONDON,Condon,OR,97823,Public,24 hours daily,45.234126,-120.184295
ELEC,HASSALO GARAGE ELWOOD BLDG #1,Portland,OR,97232,Public,24 hours daily,45.530904,-122.656662
ELEC,Edith Green - Wendell Wyatt Federal Building,Portland,OR,97204,Private - Government only,Fleet vehicle only,45.514468,-122.677047
ELEC,OSH OSH 1,Salem,OR,97301,Public,24 hours daily,44.938542,-123.005982
ELEC,REMER INC RUBY'S GRILL,Seaside,OR,97138,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.978568,-123.926604
ELEC,EV4 DC FAST 01,Portland,OR,97202,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.487166,-122.637985
ELEC,DAS OREGON 550 BLD VISITOR,Salem,OR,97301,Public,24 hours daily,44.941884,-123.025502
ELEC,LCT LCT LOT #1,Portland,OR,97232,Public,24 hours daily,45.532503,-122.657619
ELEC,Oregon Department of Energy,Salem,OR,97301,Private,For fleet use only,44.941989,-123.025697
ELEC,GS INDIGO LLC STATION 2,Portland,OR,97205,Public,24 hours daily,45.522219,-122.683515
ELEC,SOFI LAKE OSWEG STATION 1,Lake Oswego,OR,97035,Public,24 hours daily,45.41896,-122.715093
ELEC,STATION1 SOFI CEDAR MILL,Portland,OR,97229,Public,24 hours daily,45.521907,-122.799164
ELEC,CHARGEPOINT BW PORT 1A PORT 1B,Portland,OR,97217,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.59404,-122.680944
ELEC,PARK AVENUE STATION 1,Portland,OR,97205,Public,24 hours daily,45.519541,-122.680901
ELEC,PARK AVENUE STATION 3,Portland,OR,97205,Public,24 hours daily,45.519453,-122.680799
ELEC,LINCOLN CITY LINCOLN DUAL 2,Lincoln City,OR,97367,Public,24 hours daily,44.976001,-124.011539
ELEC,HILLSBORO OR PUB WORKS 2,Hillsboro,OR,97124,Public,24 hours daily,45.551867,-122.94907
ELEC,HILLSBORO OR PUB WORKS 1,Hillsboro,OR,97124,Public,24 hours daily,45.551864,-122.949149
ELEC,Oregon Department of Energy,Salem,OR,97301,Private,Employee use only; Drivers must bring their own J1772 cordset for Level 1 charging,44.941989,-123.025697
ELEC,Southern Oregon University - Lot 1,Ashland,OR,97520,Public,6am-12am; parking permit required,42.186396,-122.690383
ELEC,Southern Oregon University - Lot 27,Ashland,OR,97520,Public,6am-12am; parking permit required,42.185251,-122.69845
ELEC,SOU SOU LOT 1 EAST,Ashland,OR,97520,Public,24 hours daily,42.18759,-122.691876
ELEC,Southern Oregon University - Facilities Management & Planning,Ashland,OR,97520,Private,Fleet use only,42.188483,-122.688136
ELEC,CAPPELLA CHARGER,Salem,OR,97302,Public,24 hours daily,44.888818,-123.059289
ELEC,BEND BMW STATION 02,Bend,OR,97702,TEMPORARILY UNAVAILABLE (Public),24 hours daily,44.039696,-121.305527
ELEC,Santa's Hardware,Christmas Valley,OR,97641,Public,"9am-6pm M-Sat, 11am-4pm Sun; Also accepts PayPal",43.237312,-120.690638
ELEC,Oregon Convention Center,Portland,OR,97232,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.526865,-122.663388
ELEC,Salem - Chemeketa Parkade,Salem,OR,97301,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.942219,-123.038899
ELEC,Timberhill Athletic Club,Corvallis,OR,97330,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.595571,-123.286015
ELEC,Legacy Emanuel Hospital and Health Center,Portland,OR,97227,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.542776,-122.669212
ELEC,Salem - Liberty Parkade,Salem,OR,97301,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.939001,-123.039338
ELEC,Providence - Hood River Memorial Hospital,Hood River,OR,97031,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.704583,-121.522868
ELEC,Legacy Mount Hood Medical Center,Gresham,OR,97030,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.517162,-122.407497
ELEC,First Alternative Cooperative North,Corvallis,OR,97330,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.579023,-123.282687
ELEC,Hawthorne Auto Clinic,PORTLAND,OR,97215,TEMPORARILY UNAVAILABLE (Private),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.512037,-122.618159
ELEC,Hotel Rose Portland,Portland,OR,97204,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.517469,-122.673361
ELEC,Eastgate Business Center,Corvallis,OR,97333,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.563768,-123.225812
ELEC,Old West Salem City Hall,Salem,OR,97304,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.939611,-123.060235
ELEC,OSU - Linus Pauling Science Center,Corvallis,OR,97331,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.56629,-123.283795
ELEC,Tigard - Public Works,Tigard,OR,97223,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.427235,-122.767239
ELEC,Providence - St. Vincent Medical Center,Portland,OR,97225,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.509742,-122.771026
ELEC,Providence - Office Park,Portland,OR,97213,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.5335,-122.617841
ELEC,Providence - Milwaukie Hospital,Milwaukie,OR,97222,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.448879,-122.627307
ELEC,Providence - Willamette Falls Medical Center,Oregon City,OR,97045,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.356723,-122.586643
ELEC,Providence Medical Group - Tanasbourne,Hillsboro,OR,97124,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.533717,-122.868141
ELEC,Providence - Bridgeport Health Center,Tigard,OR,97224,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.390767,-122.75109
ELEC,Providence - Portland Medical Center - Glisan Parking Garage West,Portland,OR,97213,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.527803,-122.612077
ELEC,Pringle Schoolhouse,Salem,OR,97302,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.883384,-123.012592
ELEC,THPRD - HMT Recreation Complex,Beaverton,OR,97006,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.520532,-122.839118
ELEC,Vernier Software & Technology,Beaverton,OR,97005,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.493455,-122.819869
ELEC,City of Falls City,Falls City,OR,97344,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.865414,-123.434127
ELEC,City of Carlton - City Hall,Carlton,OR,97111,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.29437,-123.175959
ELEC,OSU - 15th & Jefferson Way Lot,Corvallis,OR,97331,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,44.564954,-123.272122
ELEC,Danielson's Hilltop Mall,Oregon City,OR,97045,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.335211,-122.593116
ELEC,Smart Park - 4th & Yamhill,Portland,OR,97204,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.517312,-122.676815
ELEC,Smart Park - SW 10th & Yamhill,Portland,OR,97205,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.519651,-122.682137
ELEC,EMBASSY CENTER NEW STATION,Tigard,OR,97223,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.454592,-122.781679
ELEC,South Clackamas Transportation District,Molalla,OR,97038,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.145345,-122.566024
ELEC,CHARGE@RTH STATION 01,Portland,OR,97233,TEMPORARILY UNAVAILABLE (Public),24 hours daily,45.520359,-122.537051
ELEC,Crescent Vue,Tillamook,OR,97134,Private,For renter use only,45.449914,-123.961337
ELEC,Green Acres Market,Redmond,OR,97756,Public,24 hours daily,44.204363,-121.227364
ELEC,2WTC P1,Portland,OR,97204,Public,24 hours daily,45.516061,-122.673899
ELEC,Tillamook,Tillamook,OR,97141,Public,24 hours daily,45.457061,-123.844996
ELEC,Best Western Sunridge Inn - Tesla Supercharger,Baker City,OR,97814,Public,24 hours daily; for Tesla use only,44.782882,-117.812306
ELEC,Fred Meyer Bend - Tesla Supercharger,Bend,OR,97702,Public,24 hours daily; for Tesla use only,44.03563,-121.308473
ELEC,Detroit Lake - Tesla Supercharger,Detroit,OR,97342,Public,24 hours daily; for Tesla use only,44.73704,-122.151999
ELEC,Black Bear Diner Grants Pass - Tesla Supercharger,Grants Pass,OR,97526,Public,24 hours daily; for Tesla use only,42.460931,-123.324124
ELEC,Fred Meyer Klamath Falls - Tesla Supercharger,Klamath Falls,OR,97603,Public,24 hours daily; for Tesla use only,42.216915,-121.75635
ELEC,Lincoln City Outlets - Tesla Supercharger,Lincoln City,OR,97367,Public,24 hours daily; for Tesla use only,44.957751,-124.010966
ELEC,Wildhorse Resort and Casino - Tesla Supercharger,Pendleton,OR,97801,Public,24 hours daily; for Tesla use only,45.64655,-118.68198
ELEC,Fred Meyer - Tesla Supercharger,Sandy,OR,97055,Public,24 hours daily; for Tesla use only,45.402786,-122.294371
ELEC,Seaside Factory Outlet Center - Tesla Supercharger,Seaside,OR,97138,Public,24 hours daily; for Tesla use only,46.00101,-123.91683
ELEC,Holiday Inn Eugene - Springfield - Tesla Supercharger,Springfield,OR,97477,Public,24 hours daily; for Tesla use only,44.082607,-123.037458
ELEC,Elmer's Restaurant - Tesla Supercharger,Woodburn,OR,97071,Public,24 hours daily; for Tesla use only,45.15313,-122.881254
ELEC,City of Ashland - Public Parking Lot,Ashland,OR,97520,Public,24 hours daily,42.197279,-122.712786
ELEC,City of Ashland - Public Parking Garage,Ashland,OR,97520,Public,Garage business hours; pay lot,42.195809,-122.713621
ELEC,Harney County - Chamber of Commerce,Burns,OR,97720,Public,24 hours daily; Tesla adapter available,43.589715,-119.055007
ELEC,Green Springs Inn,Ashland,OR,97520,Public,24 hours daily,42.122821,-122.464271
ELEC,Franny Beck Wines,Amity,OR,97101,Public,24 hours daily; for guest use only,45.115791,-123.206977
ELEC,Public Coast Brewing,Cannon Beach,OR,97110,Public,24 hours daily; for Tesla use only,45.900889,-123.958827
ELEC,Goss Chevrolet,La Grande,OR,97850,Public - Call ahead,Dealership business hours,45.326761,-118.091312
ELEC,Lithia Building at the Commons,Medford,OR,97501,Public,24 hours daily,42.328866,-122.871814
ELEC,Ponzi Vineyards,Sherwood,OR,97140,Public,Vineyard business hours,45.380227,-122.93602
ELEC,FivePine Lodge and Spa,Sisters,OR,97759,Public,24 hours daily; for guest use only; see front desk for access,44.285827,-121.536435
ELEC,Talent Community Center,Talent,OR,97540,Public,24 hours daily,42.245028,-122.790141
ELEC,Providence - Portland Medical Center - Glisan Parking Garage - Valet Parking,Portland,OR,97213,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,45.527677,-122.611475
ELEC,Lassen Chevrolet Toyota,Albany,OR,97322,Public - Call ahead,Dealership business hours; customer use only,44.630214,-123.055678
ELEC,Windermere on the Beach,Bandon,OR,97411,Public,24 hours daily,43.095269,-124.430871
ELEC,Power Chevrolet,Newport,OR,97365,TEMPORARILY UNAVAILABLE (Public - Call ahead),7:30am-7pm M-F; Dealership business hours,44.647644,-124.052744
ELEC,Hallmark Inn,Newport,OR,97365,Public,24 hours daily; for guest use only; see front desk for access,44.630713,-124.063653
ELEC,Ken Ware Chevrolet,North Bend,OR,97459,Public - Call ahead,"8am-6pm M-F, 9am-5pm Sat",43.390905,-124.234151
ELEC,Courtney Auto Repair,Reedsport,OR,97467,Public - Call ahead,Dealership business hours,43.699725,-124.103324
ELEC,Whole in the Wall,Mitchell,OR,97750,Public,24 hours daily; for Tesla use only,44.566585,-120.155408
ELEC,GRESHAM HONDA SHOP02,Troutdale,OR,97060,Public,24 hours daily,45.520048,-122.406379
ELEC,Lewis & Clark College - Holmes Hall,Lake Oswego,OR,97219,Private,For student and staff use only,45.447286,-122.669869
ELEC,Stonecreek Golf Course,Oregon City,OR,97045,Public,6am-7pm daily,45.298048,-122.563601
ELEC,Willamette Highway Parking,Oakridge,OR,97463,Public - Call ahead,Contact station for availability; key from Café required to unlock chargers,43.746765,-122.490567
ELEC,Tillamook Creamery,Tillamook,OR,97141,Public,24 hours daily,45.483213,-123.843868
ELEC,SIMON WOODBURNOUTLET1,Woodburn,OR,97071,Public,24 hours daily,45.15813,-122.876818
ELEC,Guaranty Chevrolet,Junction City,OR,97448,Public - Call ahead,"Level 2: 24 hours daily, DC Fasr: charger inside the service center, call ahead to schedule",44.214122,-123.205072
ELEC,Airport Chevrolet,Medford,OR,97504,Public - Call ahead,Dealership business hours,42.361323,-122.876631
ELEC,Palm Cottages - Tesla Destination,Ashland,OR,97520,Public,24 hours daily; for customer use only,42.188557,-122.69705
ELEC,The Peerless Hotel - Tesla Destination,Ashland,OR,97520,Public,24 hours daily; for customer use only; see front desk for access,42.197532,-122.707815
ELEC,RedTail Inn - Tesla Destination,Ashland,OR,97520,Public - Call ahead,24 hours daily; for customer use only,42.194127,-122.707956
ELEC,Plaza Inn & Suites Ashland Creek - Tesla Destination,Ashland,OR,97520,Public,24 hours daily; for customer use only; see front desk for access,42.199523,-122.715393
